"wages"	"education"	"age"	"sex"	"language"
"1"	15	13	54	"Male"	"Other"
"2"	6.81	13	18	"Male"	"English"
"3"	19	12	34	"Male"	"French"
"4"	7	11	17	"Female"	"English"
"5"	23.3	10	59	"Male"	"English"
"6"	18.92	13	36	"Male"	"Other"
"7"	8.74	12	31	"Male"	"French"
"8"	23.31	16	50	"Female"	"English"
"9"	12	14.1	36	"Female"	"English"
"10"	16	14	49	"Male"	"English"
"11"	26.4	12.5	37	"Male"	"English"
"12"	5.8	14	33	"Male"	"English"
"13"	18	15	26	"Male"	"English"
"14"	10.46	17	31	"Male"	"Other"
"15"	18.42	19	27	"Female"	"English"
"16"	17	10.5	42	"Female"	"English"
"17"	7	14	19	"Female"	"English"
"18"	15.52	13.6	28	"Male"	"French"
"19"	45.38	18	36	"Male"	"English"
"20"	25.34	16	31	"Male"	"English"
"21"	39.21	12	37	"Male"	"English"
"22"	18.61	12.5	49	"Female"	"English"
"23"	26.35	14	36	"Female"	"English"
"24"	12.45	14	34	"Female"	"English"
"25"	18.25	15.5	37	"Male"	"English"
"26"	10	12	42	"Male"	"English"
"27"	5	11.5	58	"Female"	"English"
"28"	8.5	12	36	"Female"	"English"
"29"	7.18	13.2	24	"Male"	"English"
"30"	27.97	17	51	"Female"	"Other"
"31"	12	12	53	"Female"	"English"
"32"	10.75	15	22	"Male"	"Other"
"33"	14.94	11	45	"Female"	"English"
"34"	15	12	32	"Male"	"Other"
"35"	10.75	12.1	18	"Male"	"English"
"36"	6.83	12	18	"Female"	"English"
"37"	10.88	13.8	25	"Male"	"English"
"38"	6.65	15.5	20	"Male"	"English"
"39"	19.97	9	53	"Male"	"English"
"40"	21.95	18	26	"Male"	"English"
"41"	7.4	14	22	"Male"	"English"
"42"	31.6	14	31	"Female"	"English"
"43"	19.12	14	46	"Female"	"Other"
"44"	26.4	10.5	49	"Male"	"English"
"45"	15	13.5	38	"Male"	"English"
"46"	21.99	16	55	"Female"	"English"
"47"	24.96	17	32	"Male"	"English"
"48"	16.76	19.5	37	"Male"	"English"
"49"	32.16	12	38	"Male"	"English"
"50"	12.87	12.7	34	"Female"	"French"
"51"	16.67	18.4	39	"Male"	"English"
"52"	18.35	12.5	27	"Male"	"English"
"53"	6.46	15.3	28	"Female"	"English"
"54"	7	11	32	"Male"	"Other"
"55"	16.25	14	34	"Male"	"English"
