Country_name,Region,Happiness_score,Log_GDP,Social_support,Healthy_life_expectancy,Freedom,Generosity,Corruption
Finland,Western Europe,7.741,1.844,1.572,0.695,0.859,0.142,0.454
Denmark,Western Europe,7.583,1.908,1.52,0.699,0.823,0.204,0.452
Iceland,Western Europe,7.525,1.881,1.617,0.718,0.819,0.258,0.818
Sweden,Western Europe,7.344,1.878,1.501,0.724,0.838,0.221,0.476
Israel,Middele East,7.341,1.803,1.513,0.74,0.641,0.153,0.807
Netherlands,Western Europe,7.319,1.901,1.462,0.706,0.725,0.247,0.628
Norway,Western Europe,7.302,1.952,1.517,0.704,0.835,0.224,0.516
Luxembourg,Western Europe,7.122,2.141,1.355,0.708,0.801,0.146,0.568
Switzerland,Western Europe,7.06,1.97,1.425,0.747,0.759,0.173,0.502
Australia,Oceania,7.057,1.854,1.461,0.692,0.756,0.225,0.677
New Zealand,Oceania,7.029,1.81,1.527,0.673,0.746,0.226,0.52
Costa Rica,South America,6.955,1.561,1.373,0.661,0.797,0.109,0.877
Kuwait,Middele East,6.951,1.845,1.364,0.661,0.827,0.2,0.828
Austria,Western Europe,6.905,1.885,1.336,0.696,0.703,0.214,0.695
Canada,North America,6.9,1.84,1.459,0.701,0.73,0.23,0.632
Belgium,Western Europe,6.894,1.868,1.44,0.69,0.729,0.17,0.689
Ireland,Western Europe,6.838,2.129,1.39,0.7,0.758,0.205,0.582
Czechia,Eastern Europe,6.822,1.783,1.511,0.638,0.787,0.177,0.932
Lithuania,Eastern Europe,6.818,1.766,1.454,0.598,0.533,0.044,0.884
United Kingdom,Western Europe,6.749,1.822,1.326,0.672,0.713,0.267,0.649
Slovenia,Eastern Europe,6.743,1.786,1.502,0.695,0.789,0.157,0.869
United Arab Emirates,Middele East,6.733,1.983,1.164,0.563,0.815,0.209,0.742
United States,North America,6.725,1.939,1.392,0.542,0.586,0.223,0.831
Germany,Western Europe,6.719,1.871,1.39,0.702,0.7,0.174,0.632
Mexico,North America,6.678,1.521,1.241,0.544,0.722,0.086,0.873
Uruguay,South America,6.611,1.596,1.431,0.592,0.775,0.106,0.78
France,Western Europe,6.609,1.818,1.348,0.727,0.65,0.112,0.719
Saudi Arabia,Middele East,6.594,1.842,1.361,0.511,0.787,0.114,0.812
Kosovo,Eastern Europe,6.561,1.364,1.277,0.599,0.739,0.254,0.927
Singapore,Asia,6.523,2.118,1.361,0.769,0.743,0.168,0.425
Taiwan Province of China,Asia,6.503,1.842,1.346,0.65,0.649,0.068,0.798
Romania,Eastern Europe,6.491,1.699,1.236,0.583,0.717,0.041,0.994
El Salvador,North America,6.469,1.265,1.08,0.549,0.816,0.083,0.747
Estonia,Eastern Europe,6.448,1.752,1.527,0.657,0.805,0.166,0.599
Poland,Eastern Europe,6.442,1.738,1.417,0.639,0.6,0.081,0.825
Spain,Western Europe,6.421,1.766,1.471,0.729,0.619,0.119,0.823
Serbia,Eastern Europe,6.411,1.538,1.391,0.585,0.663,0.2,0.899
Chile,South America,6.36,1.616,1.369,0.673,0.651,0.117,0.925
Panama,North America,6.358,1.702,1.392,0.633,0.72,0.063,0.957
Malta,Western Europe,6.346,1.827,1.444,0.707,0.727,0.25,0.875
Italy,Western Europe,6.324,1.8,1.328,0.72,0.513,0.112,0.926
Guatemala,North America,6.287,1.26,1.169,0.467,0.735,0.105,0.922
Nicaragua,North America,6.284,1.097,1.263,0.542,0.793,0.133,0.749
Brazil,South America,6.272,1.43,1.269,0.548,0.685,0.13,0.858
Slovakia,Eastern Europe,6.257,1.706,1.54,0.638,0.566,0.096,0.942
Latvia,Eastern Europe,6.234,1.7,1.508,0.564,0.666,0.127,0.922
Uzbekistan,Asia,6.195,1.212,1.394,0.539,0.835,0.251,0.785
Argentina,South America,6.188,1.562,1.381,0.585,0.681,0.087,0.92
Kazakhstan,Asia,6.188,1.622,1.457,0.556,0.733,0.149,0.88
Cyprus,Western Europe,6.068,1.794,1.217,0.744,0.529,0.124,0.951
Japan,Asia,6.06,1.786,1.354,0.785,0.632,0.023,0.781
South Korea,Asia,6.058,1.815,1.178,0.77,0.555,0.126,0.842
Philippines,Asia,6.048,1.232,1.146,0.441,0.826,0.099,0.864
Vietnam,Asia,6.043,1.331,1.267,0.539,0.843,0.094,0.84
Portugal,Western Europe,6.03,1.728,1.368,0.699,0.757,0.047,0.965
