empower,lmx,worksat,climate,cohesion
32,11,3,18,3.5
36,13,4,18,3.5
30,9,4,18,3.5
29,8,3,18,3.5
26,7,4,18,3.5
29,10,4,18,3.5
29,11,5,17,4
22,9,3,17,4
23,5,2,17,4
32,9,4,17,4
31,12,5,17,4
36,13,4,17,4
16,0,3,22,6
25,8,3,22,6
31,15,3,22,6
27,9,6,22,6
30,9,4,22,6
23,7,3,22,6
30,13,3,20,4.5
26,11,5,20,4.5
27,8,4,20,4.5
42,10,4,20,4.5
24,8,5,20,4.5
37,16,6,20,4.5
33,12,4,23,6.5
37,13,4,23,6.5
29,9,4,23,6.5
32,9,5,23,6.5
24,6,4,23,6.5
31,6,3,23,6.5
21,2,3,19,7
29,8,3,19,7
29,12,5,19,7
25,9,5,19,7
27,12,5,19,7
36,11,5,19,7
29,4,2,12,2
26,9,4,12,2
26,6,2,12,2
26,10,4,12,2
31,9,4,12,2
33,8,4,12,2
21,8,4,16,3.5
26,12,5,16,3.5
25,5,5,16,3.5
31,9,3,16,3.5
29,5,3,16,3.5
27,10,4,16,3.5
27,7,5,23,4
28,9,5,23,4
26,7,4,23,4
29,12,4,23,4
28,10,4,23,4
25,9,5,23,4
33,8,4,24,6.5
27,9,3,24,6.5
29,6,4,24,6.5
36,14,4,24,6.5
24,8,4,24,6.5
22,5,3,24,6.5
28,8,3,15,5
26,7,6,15,5
30,11,4,15,5
28,8,4,15,5
28,8,3,15,5
25,5,3,15,5
36,10,5,18,6
32,5,3,18,6
30,11,4,18,6
30,12,7,18,6
34,9,3,18,6
38,7,4,18,6
24,5,5,19,4.5
23,2,4,19,4.5
25,10,4,19,4.5
27,11,4,19,4.5
24,6,3,19,4.5
28,8,4,19,4.5
24,3,2,20,5
30,8,3,20,5
22,7,2,20,5
27,8,4,20,5
38,10,4,20,5
30,4,4,20,5
34,9,3,15,4.5
24,13,5,15,4.5
21,5,3,15,4.5
33,12,3,15,4.5
35,10,5,15,4.5
23,11,1,15,4.5
28,9,5,24,4.5
32,9,6,24,4.5
24,4,3,24,4.5
34,12,5,24,4.5
34,8,5,24,4.5
29,12,6,24,4.5
29,4,3,15,5.5
30,11,3,15,5.5
26,10,5,15,5.5
33,10,4,15,5.5
29,6,4,15,5.5
21,12,6,15,5.5
32,10,1,16,4
22,10,4,16,4
28,9,3,16,4
32,13,4,16,4
27,10,2,16,4
34,17,6,16,4
28,8,5,22,5
33,13,4,22,5
35,9,4,22,5
26,4,7,22,5
33,6,3,22,5
36,11,4,22,5
23,9,3,14,3
22,6,4,14,3
29,12,4,14,3
26,15,4,14,3
29,10,3,14,3
24,9,4,14,3
25,7,3,19,5
35,17,4,19,5
17,5,2,19,5
35,14,5,19,5
26,9,5,19,5
37,10,3,19,5
39,10,5,24,7
31,7,4,24,7
32,6,3,24,7
33,9,6,24,7
32,5,3,24,7
31,6,3,24,7
28,11,4,24,7
22,10,4,24,7
37,14,5,24,7
33,11,5,24,7
30,9,4,24,7
35,13,6,24,7
28,10,3,19,8
36,14,4,19,8
27,13,3,19,8
26,11,2,19,8
24,9,1,19,8
31,13,4,19,8
34,10,4,20,7
26,8,1,20,7
34,6,4,20,7
26,6,2,20,7
33,10,3,20,7
28,6,4,20,7
29,9,4,22,5
32,12,4,22,5
23,10,3,22,5
22,9,5,22,5
31,7,3,22,5
26,10,4,22,5
34,8,3,21,4.5
32,12,4,21,4.5
33,13,6,21,4.5
29,7,5,21,4.5
20,4,5,21,4.5
29,12,5,21,4.5
25,3,5,26,6
30,9,5,26,6
29,8,7,26,6
30,8,5,26,6
26,9,3,26,6
34,11,7,26,6
30,12,4,19,3.5
30,12,3,19,3.5
32,11,3,19,3.5
23,5,4,19,3.5
25,14,4,19,3.5
35,13,5,19,3.5
26,9,4,21,4
22,14,7,21,4
30,7,2,21,4
30,14,6,21,4
29,14,5,21,4
32,14,3,21,4
28,10,3,21,6
35,14,4,21,6
22,8,5,21,6
35,11,3,21,6
27,15,5,21,6
28,12,7,21,6
23,9,3,15,4.5
28,9,3,15,4.5
29,12,3,15,4.5
25,6,4,15,4.5
29,11,3,15,4.5
25,5,4,15,4.5
32,8,3,19,5
31,12,6,19,5
23,14,4,19,5
33,13,5,19,5
34,10,3,19,5
32,11,3,19,5
27,9,4,24,5.5
30,11,4,24,5.5
35,11,5,24,5.5
30,8,6,24,5.5
31,12,4,24,5.5
33,13,3,24,5.5
33,15,7,33,3
38,12,6,33,3
32,8,5,33,3
30,7,3,33,3
42,15,7,33,3
18,4,2,33,3
22,8,5,26,6
23,9,5,26,6
31,11,5,26,6
29,10,3,26,6
20,10,5,26,6
20,9,5,26,6
36,6,4,17,6
32,9,3,17,6
26,7,2,17,6
26,11,2,17,6
23,10,4,17,6
31,11,5,17,6
30,7,3,27,10
36,11,5,27,10
28,11,3,27,10
26,10,4,27,10
31,9,5,27,10
25,8,4,27,10
30,12,6,19,4
23,8,4,19,4
40,15,5,19,4
27,12,3,19,4
22,9,5,19,4
34,15,4,19,4
30,10,4,15,3.5
17,8,4,15,3.5
26,10,2,15,3.5
25,14,6,15,3.5
28,15,5,15,3.5
20,16,6,15,3.5
32,13,5,23,5.5
30,10,4,23,5.5
34,13,4,23,5.5
24,8,2,23,5.5
41,17,5,23,5.5
28,8,6,23,5.5
28,11,5,18,5
32,7,4,18,5
28,12,4,18,5
29,14,3,18,5
27,9,2,18,5
27,13,5,18,5
30,12,4,15,4.5
27,9,5,15,4.5
36,11,5,15,4.5
23,14,4,15,4.5
29,13,4,15,4.5
23,13,3,15,4.5
28,10,2,21,6
33,15,6,21,6
26,10,4,21,6
31,10,4,21,6
35,15,7,21,6
25,8,6,21,6
25,11,4,12,3
25,9,1,12,3
29,7,4,12,3
22,9,4,12,3
19,5,1,12,3
28,11,4,12,3
21,6,2,17,4.5
35,12,3,17,4.5
28,8,3,17,4.5
33,14,5,17,4.5
23,9,3,17,4.5
29,10,5,17,4.5
29,8,4,23,4.5
37,5,3,23,4.5
32,7,2,23,4.5
27,10,3,23,4.5
33,9,2,23,4.5
32,7,6,23,4.5
24,5,4,24,3.5
28,11,6,24,3.5
23,7,2,24,3.5
30,11,5,24,3.5
22,5,6,24,3.5
27,8,3,24,3.5
31,10,6,21,4.5
24,9,4,21,4.5
36,14,4,21,4.5
33,9,5,21,4.5
31,15,7,21,4.5
27,6,5,21,4.5
27,9,5,22,3
28,8,3,22,3
30,13,4,22,3
28,14,4,22,3
34,13,6,22,3
27,8,3,22,3
28,12,6,26,5
38,17,6,26,5
35,13,6,26,5
36,17,6,26,5
23,5,5,26,5
32,11,4,26,5
32,8,5,19,5.5
28,10,4,19,5.5
30,13,6,19,5.5
28,8,4,19,5.5
31,9,4,19,5.5
37,9,4,19,5.5
27,7,3,21,3.5
35,10,4,21,3.5
29,8,1,21,3.5
32,9,4,21,3.5
29,10,5,21,3.5
29,8,4,21,3.5
30,16,5,21,6.5
22,13,3,21,6.5
24,10,5,21,6.5
33,12,5,21,6.5
29,17,5,21,6.5
27,15,4,21,6.5
28,7,3,18,6
26,6,2,18,6
27,5,4,18,6
28,10,4,18,6
24,8,4,18,6
27,6,4,18,6
26,10,5,14,5
23,8,2,14,5
19,8,2,14,5
27,11,1,14,5
23,9,2,14,5
22,15,6,14,5
29,12,5,12,3.5
26,9,5,12,3.5
25,16,3,12,3.5
25,11,3,12,3.5
27,12,3,12,3.5
31,10,2,12,3.5
20,8,3,18,5
29,8,5,18,5
33,9,5,18,5
32,13,5,18,5
28,7,2,18,5
29,10,4,18,5
30,11,5,13,3.5
28,7,4,13,3.5
29,13,2,13,3.5
21,9,3,13,3.5
26,10,4,13,3.5
24,6,2,13,3.5
27,6,4,22,6
28,11,6,22,6
27,5,2,22,6
24,8,3,22,6
25,4,3,22,6
31,9,3,22,6
32,11,2,25,5
39,13,3,25,5
33,10,4,25,5
23,7,3,25,5
30,11,4,25,5
30,6,3,25,5
22,4,2,15,2
29,11,6,15,2
28,12,4,15,2
29,12,4,15,2
22,6,4,15,2
30,14,5,15,2
39,6,4,24,5
32,8,6,24,5
25,9,4,24,5
31,8,4,24,5
28,12,6,24,5
30,5,4,24,5
31,13,5,17,5
28,13,5,17,5
26,9,5,17,5
27,6,2,17,5
36,14,4,17,5
28,6,2,17,5
26,8,4,19,4.5
27,8,4,19,4.5
22,10,4,19,4.5
31,11,5,19,4.5
24,8,2,19,4.5
32,10,6,19,4.5
29,6,4,25,6
29,8,4,25,6
38,12,6,25,6
37,10,5,25,6
38,13,5,25,6
29,11,4,25,6
24,11,2,10,3
24,9,4,10,3
17,9,4,10,3
24,10,6,10,3
24,5,2,10,3
28,11,4,10,3
23,6,3,19,7
34,7,3,19,7
33,7,5,19,7
29,14,3,19,7
28,10,5,19,7
19,6,3,19,7
33,13,5,24,7
29,10,6,24,7
33,11,3,24,7
27,9,4,24,7
37,9,4,24,7
30,14,6,24,7
29,8,4,18,3
28,6,3,18,3
29,13,5,18,3
32,13,4,18,3
35,7,3,18,3
28,3,2,18,3
35,11,4,26,7
31,9,7,26,7
29,10,5,26,7
32,9,5,26,7
30,4,1,26,7
28,7,4,26,7
25,9,4,22,4
27,12,4,22,4
36,14,3,22,4
26,7,3,22,4
28,11,5,22,4
28,9,3,22,4
33,9,5,23,6
25,6,5,23,6
27,8,3,23,6
34,9,5,23,6
38,9,3,23,6
28,7,4,23,6
29,10,5,21,3.5
23,11,4,21,3.5
30,9,4,21,3.5
31,9,3,21,3.5
31,12,3,21,3.5
26,5,3,21,3.5
24,10,4,20,4
32,8,5,20,4
28,11,5,20,4
23,7,2,20,4
27,8,5,20,4
25,8,3,20,4
27,4,4,16,4
20,6,2,16,4
26,13,4,16,4
30,13,4,16,4
14,4,3,16,4
23,11,3,16,4
31,5,3,23,7
28,10,7,23,7
28,6,2,23,7
30,14,5,23,7
27,7,4,23,7
33,11,4,23,7
28,12,4,19,4
32,10,5,19,4
30,11,3,19,4
27,17,7,19,4
35,11,4,19,4
30,14,6,19,4
27,6,3,21,6
23,4,2,21,6
29,12,2,21,6
27,11,4,21,6
24,4,3,21,6
19,9,2,21,6
28,6,4,20,7
15,8,2,20,7
28,11,4,20,7
27,11,4,20,7
29,8,4,20,7
23,7,3,20,7
25,11,4,21,5.5
29,12,5,21,5.5
36,15,7,21,5.5
36,13,6,21,5.5
32,10,5,21,5.5
24,12,6,21,5.5
31,9,4,18,3
31,12,4,18,3
27,8,6,18,3
29,13,4,18,3
32,16,6,18,3
27,13,4,18,3
28,7,3,17,5
31,9,5,17,5
28,8,4,17,5
29,8,3,17,5
33,11,5,17,5
26,6,4,17,5
31,6,3,19,3
28,10,4,19,3
35,14,4,19,3
26,11,4,19,3
28,10,3,19,3
28,15,4,19,3
28,10,6,25,5.5
30,12,4,25,5.5
29,12,3,25,5.5
24,6,3,25,5.5
34,14,7,25,5.5
26,6,4,25,5.5
32,9,4,21,5
31,14,4,21,5
28,8,4,21,5
38,9,5,21,5
29,8,4,21,5
31,9,5,21,5
24,8,3,24,3
