Depthm,T_degC,Salnty,O2ml_L
0,10.5,33.44,NA
8,10.46,33.44,NA
10,10.46,33.437,NA
19,10.45,33.42,NA
20,10.45,33.421,NA
30,10.45,33.431,NA
39,10.45,33.44,NA
50,10.24,33.424,NA
58,10.06,33.42,NA
75,9.86,33.494,NA
78,9.83,33.51,NA
100,9.67,33.58,NA
117,9.5,33.64,NA
125,9.32,33.689,NA
150,8.76,33.847,NA
152,8.71,33.86,NA
200,8.53,33.876,NA
221,8.45,NA,NA
250,8.26,33.926,NA
285,7.96,33.98,NA
300,7.77,33.99,NA
373,6.8,34.04,NA
400,6.55,34.056,NA
500,5.78,34.113,NA
598,5.3,34.16,NA
600,5.29,34.161,NA
700,5.01,34.21,NA
800,4.72,34.261,NA
896,4.44,34.31,NA
0,10.1,32.95,NA
10,9.89,32.94,NA
20,9.75,32.939,NA
24,9.69,32.95,NA
30,9.52,33.013,NA
47,9.06,33.24,NA
50,9.04,33.272,NA
71,8.92,33.46,NA
75,8.83,33.488,NA
94,8.37,33.6,NA
100,8.26,33.631,NA
125,7.85,33.745,NA
140,7.64,33.8,NA
150,7.5,33.833,NA
189,6.98,33.93,NA
200,6.85,33.939,NA
250,6.32,33.943,NA
282,6.05,33.95,NA
300,5.95,33.957,NA
379,5.6,34,NA
400,5.5,34.016,NA
500,5.02,34.101,NA
565,4.74,34.16,NA
600,4.62,34.188,NA
700,4.33,34.259,NA
800,4.08,34.319,NA
840,3.99,34.34,NA
900,3.85,34.354,NA
1000,3.62,34.378,NA
1100,3.38,34.403,NA
1200,3.15,34.429,NA
1203,3.14,34.43,NA
0,10.2,32.63,NA
10,10.05,32.66,NA
20,9.95,32.66,NA
22,9.94,32.66,NA
30,9.92,32.673,NA
38,9.87,32.68,NA
49,9.62,32.75,NA
50,9.66,32.736,NA
55,9.9,32.66,NA
73,9.65,32.74,NA
75,9.62,32.765,NA
99,9.23,33.12,NA
100,9.21,33.132,NA
125,8.79,33.398,NA
150,8.37,33.605,NA
191,7.71,33.82,NA
200,7.58,33.844,NA
250,6.93,33.926,NA
290,6.47,33.93,NA
300,6.37,33.941,NA
400,5.54,34.041,NA
488,5.02,34.11,NA
500,4.97,34.113,NA
600,4.59,34.135,NA
700,4.31,34.151,NA
789,4.14,34.16,NA
800,4.11,34.169,NA
900,3.89,34.252,NA
1000,3.66,34.336,NA
1100,3.43,34.421,NA
1134,3.35,34.45,NA
0,10.4,32.68,NA
8,10.22,32.7,NA
10,10.2,32.694,NA
19,10.14,32.66,NA
20,10.14,32.657,NA
30,10.07,32.641,NA
40,9.97,NA,NA
50,9.72,32.699,NA
62,9.42,32.79,NA
75,9.32,32.967,NA
84,9.27,33.1,NA
100,9.02,33.286,NA
125,8.6,33.533,NA
127,8.56,33.55,NA
150,8.32,33.746,NA
164,8.18,33.84,NA
200,7.71,33.863,NA
242,7.16,33.89,NA
250,7.08,33.893,NA
300,6.61,33.91,NA
329,6.38,33.75,NA
400,5.79,33.955,NA
492,5.14,34,NA
500,5.1,34.01,NA
600,4.65,34.128,NA
700,4.31,34.245,NA
739,4.21,34.29,NA
800,4.07,34.309,NA
900,3.83,34.34,NA
1000,3.59,34.372,NA
1085,3.39,34.4,NA
0,10.5,32.75,NA
8,10.52,32.75,NA
10,10.51,32.748,NA
19,10.48,32.74,NA
20,10.47,32.74,NA
30,10.34,32.737,NA
37,10.2,NA,NA
50,9.85,32.738,NA
55,9.7,32.74,NA
71,9.29,32.74,NA
75,9.2,32.791,NA
100,9.35,33.42,NA
